name,modelNumber,manufacturer,vendor,description,category,unit,tier,collection,color,finish,price,productUrl,imageUrl,sourceType,sourceWorkbook,sourceSheet,sourceRow,confidence
Schluter edge is A100TSC texture beige 10' (4) or (6) 8',A100TSC,,,,,ea,,,,,141.77,https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-height-Transitions/Schluter%C2%AE-SCHIENE/p/A100TSC?siteUid=schluter-us&siteName=schluter.com,,derived,Product_Master_Refined.xlsx,Product Master | Raw Extract,62 | 164,high
Schluter edge is A100TSC texture beige 10' (4) or (6) 8' https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/,A100TSC,,ProSource,Schluter edge is A100TSC texture beige 10' (4) or (6) 8' https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-height-Transitions/Schluter%C2%AE-SCHIENE/p/A100TSC?siteUid=schluter-us&siteName=schluter.com A100TSC 173.778 141.768 Prosource,Flooring,ea,,,beige,,173.78,https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-height-Transitions/Schluter%C2%AE-SCHIENE/p/A100TSC?siteUid=schluter-us&siteName=schluter.com,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,153 | 119,high
Shower Wall Elbow,A725BG,,,,,ea,,,,,66.55,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,620 | 592,high
Shower Wall Elbow  A725BG 66.55 Ferguson  2025-11-19 00:00:00 1.0 0.0,A725BG,,Ferguson,Shower Wall Elbow  A725BG 66.55 Ferguson  2025-11-19 00:00:00 1.0 0.0,Plumbing,ea,,,,,0.00,,,derived,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,190,high
Shower El,A725BN,,,,,ea,,,,,65.54,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,681 | 652,high
Shower El  A725BN 65.538 Ferguson  2025-11-19 00:00:00 1.0 0.0,A725BN,,Ferguson,Shower El  A725BN 65.538 Ferguson  2025-11-19 00:00:00 1.0 0.0,Plumbing,ea,,,,,0.00,,,derived,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,215,high
Schulter Edging 32' Griege  https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-height-Transitions/Schlu,A80TSBG,,,Schulter Edging 32' Griege  https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-height-Transitions/Schluter%C2%AE-SCHIENE/p/A80TSBG 160 ProSource  2026-05-08 00:00:00 0.0,,ea,,,,,0.00,https://www.schluter.com/schluter-us/en_US/Profiles/For-Floors/Same-height-Transitions/Schluter%C2%AE-SCHIENE/p/A80TSBG,,derived,compiled_products_db.xlsx,Sheet1,116,high
Mirror,ANDYSTAR24X32OVALBRUSHEDNICKEL,,Amazon,Andy Star 24x32 Oval Brushed Nickel,Powder Room,ea,,,,,205.66,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,18,medium
Pendant Lights,ATHENSDECOSWIRLPENDANTQTY2,,Idlewood,Athens Deco Swirl Pendant Qty 2,Kitchen,ea,,,,,291.64,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,10,medium
Mounted Shower Rod  https://www.amazon.com/Zenna-Home-648SS-Builder-Curtain/dp/B0014XAPZC?th=1 67.198857 Amazon  67.2 0.,B0014XAPZC,,Amazon,Mounted Shower Rod  https://www.amazon.com/Zenna-Home-648SS-Builder-Curtain/dp/B0014XAPZC?th=1 67.198857 Amazon  67.2 0.0 2026-03-28 00:00:00,Plumbing,ea,,,,,67.20,https://www.amazon.com/Zenna-Home-648SS-Builder-Curtain/dp/B0014XAPZC?th=1,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,249 | 177,high
Bath Tub Drain - Match finishes,B0F6PZTBN,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/jones-stephens-b0f16pztbn/s2054315?uid=4932875,,derived,Product_Master_Enhanced.xlsx,Product Library | Raw Records,72 | 268,high
Bath Tub Drain - Match finishes,B0PZLMB,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/jones-stephens-b0pzlmb/s2054351?uid=4932885,,derived,Product_Master_Enhanced.xlsx,Product Library | Raw Records,73 | 25,high
Tub Drain Kit,B2S24PZLCP,,Ferguson,Tub Drain Kit,Tub,ea,,,,,49.09,https://www.fergusonhome.com/jones-stephens-b2s24pzlcp/s2054377?uid=4932900,,derived,Product_Master_Enhanced.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Product Occurrences,74 | 80 | 132 | 83,high
LVP Flooring Walnut Glen 24 SQ FT,B47,,Home Depot,LVP Flooring Walnut Glen 24 SQ FT,,ea,,,,,138.13,https://www.homedepot.com/p/Lifeproof-Walnut-Glen-22-MIL-x-7-4-in-W-x-47-8-L-Waterproof-Click-Lock-Luxury-Vinyl-Plank-Flooring-19-8-sqft-case-67400-500-07B47/328123953,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,54 | 166 | 51 | 106 | 265,high
Garbage Disposal,BADGER5WC,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/insinkerator-badger-5/s434080?uid=2564868,,derived,Product_Master_Enhanced.xlsx,Product Library | Raw Records,75 | 72 | 126,high
Chandelier,BALLSTONROCHESTER5-LIGHTGOLD,,Idlewood,Ballston Rochester 5-Light Gold,Foyer,ea,,,,,672.92,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,14 | 15,medium
2025-10-24 00:00:00 Elega 24 in. W x 32 in. H Rectangular Aluminum Recessed/Wall Mount Dimmable Fogless Lighted Medicine,BLMC2432,,Home Depot,2025-10-24 00:00:00 Elega 24 in. W x 32 in. H Rectangular Aluminum Recessed/Wall Mount Dimmable Fogless Lighted Medicine Cabinet with Mirror Home Depot  Garwood  Model # BLMC2432,Electrical,ea,,,,,32.00,,,derived,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,11,high
Panasonic 100 CFM 0.9 Sone Ceiling Mounted HVI Certified Exhaust Fan,BLMC2432,,,Panasonic 100 CFM 0.9 Sone Ceiling Mounted HVI Certified Exhaust Fan,,ea,,,,,92.00,,,baseline,,Frequent Material Model Price,5,low
Amerock Blackrock 1-5/8 Inch Mushroom Cabinet Knob (17),BP55272G10,,Ferguson,,Cabinetry,ea,,,,,159.14,https://www.fergusonhome.com/amerock-bp55272/s439071?uid=1315570,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,76 | 129 | 64,high
Kitchen  Amerock Blackrock 1-5/8 Inch Mushroom Cabinet Knob (17)  https://www.fergusonhome.com/amerock-bp55272/s439071?u,BP55272G10,,Ferguson,Kitchen  Amerock Blackrock 1-5/8 Inch Mushroom Cabinet Knob (17)  https://www.fergusonhome.com/amerock-bp55272/s439071?uid=1315570 BP55272G10 159.137 Ferguson  2026-04-28 00:00:00 0.0,Cabinetry,ea,,,black,black,159.14,https://www.fergusonhome.com/amerock-bp55272/s439071?uid=1315570,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,125 | 99,high
Amerock Blackrock 6-5/16 Inch Center to Center Handle Cabinet Pull (5),BP55278G10,,Ferguson,,Cabinetry,ea,,,,,51.98,https://www.fergusonhome.com/amerock-bp55278/s439698?uid=1315579,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,77 | 130 | 65,high
Amerock Blackrock 6-5/16 Inch Center to Center Handle Cabinet Pull (5)  https://www.fergusonhome.com/amerock-bp55278/s43,BP55278G10,,Ferguson,Amerock Blackrock 6-5/16 Inch Center to Center Handle Cabinet Pull (5)  https://www.fergusonhome.com/amerock-bp55278/s439698?uid=1315579 BP55278G10 51.975 Ferguson  2026-04-28 00:00:00 0.0,Cabinetry,ea,,,black,black,51.98,https://www.fergusonhome.com/amerock-bp55278/s439698?uid=1315579,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,126 | 100,high
False Shower Wall & Tub Deck Tile  24 X 24  TTL 328  Sq Ft  https://www.daltile.com/products/stone-look/bryne/coastline,BR30,,,False Shower Wall & Tub Deck Tile  24 X 24  TTL 328  Sq Ft  https://www.daltile.com/products/stone-look/bryne/coastline Coastline BR30  3000 1936.77 ProSource  2026-04-14 00:00:00 0.0,,ea,,,,,1936.77,https://www.daltile.com/products/stone-look/bryne/coastline,,derived,compiled_products_db.xlsx,Sheet1,222,high
False Shower Base Tile 15  Sq Ft  https://www.daltile.com/products/stone-look/bryne/mist Matte Mist BR31 ProSource  0.0,BR31,,,False Shower Base Tile 15  Sq Ft  https://www.daltile.com/products/stone-look/bryne/mist Matte Mist BR31 ProSource  0.0,,ea,,,,,0.00,https://www.daltile.com/products/stone-look/bryne/mist,,derived,compiled_products_db.xlsx,Sheet1,221,high
Range Hood,BROANGLA1303SS,,Amazon,Broan GLA1303SS,Kitchen,ea,,,,,242.48,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,12,medium
"Free Standing Combo 48"" Vanity Open bottom https://www.wayfair.com/home/pdp/sand-stable-carrie-48-single-bathroom-vanity",C1654834543,,Wayfair,"Free Standing Combo 48"" Vanity Open bottom https://www.wayfair.com/home/pdp/sand-stable-carrie-48-single-bathroom-vanity-set-w002974012.html?piid=1654995866%2C1654834543 1200 1926.839175 1613.38 Wayfair  2026-04-22 00:00:00 0.0 0.0 0.0",Cabinetry,ea,,,,,1926.84,https://www.wayfair.com/home/pdp/sand-stable-carrie-48-single-bathroom-vanity-set-w002974012.html?piid=1654995866%2C1654834543,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,139 | 108,high
Cap A Treads Need:  14 Risers - 12 Treads  14 PCS  https://www.homedepot.com/p/Cap-A-Tread-2-Pack-Navarra-Maple-47-in-L-,CA78096,,Home Depot,Cap A Treads Need:  14 Risers - 12 Treads  14 PCS  https://www.homedepot.com/p/Cap-A-Tread-2-Pack-Navarra-Maple-47-in-L-x-12-15-in-W-x-2-28-in-T-Vinyl-Overlay-Stair-Tread-and-Reversible-Riser-01D-CA78096/333401871 01D-CA78096 2200 1990.91235 Home Depot  2026-04-23 00:00:00 0.0,Flooring,ea,,,,,1990.91,https://www.homedepot.com/p/Cap-A-Tread-2-Pack-Navarra-Maple-47-in-L-x-12-15-in-W-x-2-28-in-T-Vinyl-Overlay-Stair-Tread-and-Reversible-Riser-01D-CA78096/333401871,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,132 | 103,high
Hall Bathroom Plumbing,CD-K030PRO,,,,,ea,,,,,8500.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,244 | 231,high
Master Bathroom Plumbing,CD-K030PRO,,,,,ea,,,,,2000.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,218 | 205,high
Shower Arm,CL10154BN,,,,,ea,,,,,52.07,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,677 | 648,high
Shower Arm  CL10154BN 52.074000000000005 Ferguson  2025-11-19 00:00:00 1.0 0.0,CL10154BN,,Ferguson,Shower Arm  CL10154BN 52.074000000000005 Ferguson  2025-11-19 00:00:00 1.0 0.0,Plumbing,ea,,,,,0.00,,,derived,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,212,high
Shower Arm Diverter Valve,CL703,,,,,ea,,,,,106.53,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,679 | 650,high
Shower Arm Diverter Valve  CL703 BN  106.535 Ferguson  2025-11-19 00:00:00 1.0 0.0,CL703,,Ferguson,Shower Arm Diverter Valve  CL703 BN  106.535 Ferguson  2025-11-19 00:00:00 1.0 0.0,Plumbing,ea,,,,,0.00,,,derived,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,214,high
**Add On Toilet  False *** Toto Toilet Add-On https://www.fergusonhome.com/toto-mw6424736cefga/s1931975?uid=4565624 TCST,CST642CEFGAT4001,,,**Add On Toilet  False *** Toto Toilet Add-On https://www.fergusonhome.com/toto-mw6424736cefga/s1931975?uid=4565624 TCST642CEFGAT4001 1432.5629999999999 Ferguson 2026-02-11 00:00:00 0.0,,ea,,,,,1432.56,https://www.fergusonhome.com/toto-mw6424736cefga/s1931975?uid=4565624,,derived,compiled_products_db.xlsx,Sheet1,219,high
14 PCS,D-CA78096,,Home Depot,,,ea,,,,,1990.91,https://www.homedepot.com/p/Cap-A-Tread-2-Pack-Navarra-Maple-47-in-L-x-12-15-in-W-x-2-28-in-T-Vinyl-Overlay-Stair-Tread-and-Reversible-Riser-01D-CA78096/333401871,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,6 | 136 | 3,high
Tub Drain -Kingston Brass,DLL200MB,,Ferguson Home,Tub Drain -Kingston Brass,Tub,ea,,,,,54.44,https://www.fergusonhome.com/kingston-brass-dll20/s478717?uid=3673997,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,88 | 172 | 67 | 160 | 271,high
Tub Drain -Kingston Brass  https://www.fergusonhome.com/kingston-brass-dll20/s478717?uid=3673997 DLL200MB 55 54.4428 Fer,DLL200MB,,Ferguson,Tub Drain -Kingston Brass  https://www.fergusonhome.com/kingston-brass-dll20/s478717?uid=3673997 DLL200MB 55 54.4428 Ferguson Home  2026-04-01 00:00:00,Plumbing,ea,,,,,54.44,https://www.fergusonhome.com/kingston-brass-dll20/s478717?uid=3673997,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,161 | 124,high
"DreamLine SlimLine 30"" x 60"" Shower Base with Single Threshold and Left-Side Drain",DLT-1130601,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/dreamline-dlt-1130601/s822259?uid=2121664,,derived,Product_Master_Extract.xlsx,Sheet1,18,high
DreamLine SlimLine Shower Drain - Brushed Nickel,DN09X02R04,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/dreamline-dn09x02r/s2086405?uid=5094657&_br_psugg_q=dreamline+shower+drain,,derived,Product_Master_Extract.xlsx,Sheet1,19,high
DR10000UNWSHF,DR10000UNWSHF,,,,,ea,,,,,,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,221 | 208,high
tub overflow - Kingston Brass,DTT100MB,,Ferguson Home,tub overflow - Kingston Brass,Tub,ea,,,,,44.23,https://www.fergusonhome.com/kingston-brass-dtt10/s483276?uid=3674010,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,97 | 173 | 73 | 169 | 272,high
tub overflow - Kingston Brass  https://www.fergusonhome.com/kingston-brass-dtt10/s483276?uid=3674010 DTT100MB 45 44.2260,DTT100MB,,Ferguson,tub overflow - Kingston Brass  https://www.fergusonhome.com/kingston-brass-dtt10/s483276?uid=3674010 DTT100MB 45 44.226000000000006 Ferguson Home  2026-04-01 00:00:00,Plumbing,ea,,,,,44.23,https://www.fergusonhome.com/kingston-brass-dtt10/s483276?uid=3674010,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,162 | 125,high
Cabinet Handles,"ELARA3""PULL/BACKPLATEOPTIONS",,Hardware Resources,"Elara 3"" Pull / Backplate Options",Kitchen (on hold till after cleaning),ea,,,,,,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,6,medium
"Zenna Home Medicine Cabinet 24"" x 30""",EMRA2430,,Home Depot,"Zenna Home Medicine Cabinet 24"" x 30""",Cabinetry,ea,,,,,210.49,https://www.homedepot.com/p/Zenna-Home-24-in-W-x-30-in-H-Aluminum-Frameless-Beveled-Mirror-Medicine-Cabinet-EMRA2430/207018216,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,100 | 183 | 75 | 173 | 287,high
"Zenna Home Medicine Cabinet 24"" x 30""  https://www.homedepot.com/p/Zenna-Home-24-in-W-x-30-in-H-Aluminum-Frameless-Bevel",EMRA2430,,Home Depot,"Zenna Home Medicine Cabinet 24"" x 30""  https://www.homedepot.com/p/Zenna-Home-24-in-W-x-30-in-H-Aluminum-Frameless-Beveled-Mirror-Medicine-Cabinet-EMRA2430/207018216 EMRA2430 200 210.492125 Home Depot  2026-03-31 00:00:00 0.0",Cabinetry,ea,,,,,0.00,https://www.homedepot.com/p/Zenna-Home-24-in-W-x-30-in-H-Aluminum-Frameless-Beveled-Mirror-Medicine-Cabinet-EMRA2430/207018216,,derived,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,134,high
Window 0.0 Master Bath Sliding windoe 630.49 In Lous Estimate  Endure EN6000 Slider-white interior woodgrain print with,EN6000,,,Window 0.0 Master Bath Sliding windoe 630.49 In Lous Estimate  Endure EN6000 Slider-white interior woodgrain print with Beige exterior 0.0,,ea,,,white,white,0.00,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,202 | 141,high
Shower Wall Tile 93 sq ft MSI Veneto White Matte 12x24  https://www.msisurfaces.com/site-search/?key=Veneto%20White NVEN,EWHI1224,,ProSource,Shower Wall Tile 93 sq ft MSI Veneto White Matte 12x24  https://www.msisurfaces.com/site-search/?key=Veneto%20White NVENEWHI1224 1200 340 ProSource  2026-05-08 00:00:00 0.0,Plumbing,ea,,,white,white,0.00,https://www.msisurfaces.com/site-search/?key=Veneto%20White,,derived,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,92,high
Panasonic 100 CFM 0.9 Sone Ceiling Mounted HVI Certified Exhaust Fan,FV-0510VS1,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/panasonic-fv-0510vs1/s1286588?uid=3162516,,derived,Product_Master_Extract.xlsx,Sheet1,21,high
Panasonic 100 CFM 0.5 Sone Ceiling Mounted LED Lighted Exhaust Fan with Smart Flow Technology,FV-0510VSL1,,,Panasonic 100 CFM 0.5 Sone Ceiling Mounted LED Lighted Exhaust Fan with Smart Flow Technology,,ea,,,,,155.25,,,baseline,,Frequent Material Model Price,7,low
Master Bathroom Electrical,FV-0511VKS3S,,,,,ea,,,,,248.60,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,229 | 216,high
Hall Bathroom Electrical,FV-0511VKSL3,,,,,ea,,,,,300.88,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,248 | 235,high
Master Bathroom Electrical,FV-0511VKSL3,,,,,ea,,,,,300.88,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,230 | 217,high
0.0 LVT Floor Tile 226 SQ FT  https://coretecfloors.com/en-us/products/coretec-tile/foussana-limestone-vv870-12252?utm_s,FY25,,,0.0 LVT Floor Tile 226 SQ FT  https://coretecfloors.com/en-us/products/coretec-tile/foussana-limestone-vv870-12252?utm_source=google&utm_medium=cpc&utm_campaign=COR_GG_Search_Branded_Design_ManualCPC_FY25&utm_term=coretec+flooring&utm_content=Cj0KCQiA7-rMBhCFARIsAKnLKtAsVMQhxxFkowZv_RorSWjShO3bcv4mF-0EqMA2jlfTAQCnQRU5ncQaAh3VEALw_wcB Foussana Limestone  1200 1149.34 1149.34 ProSource  2026-03-24 00:00:00 0.0,,ea,,,,,0.00,https://coretecfloors.com/en-us/products/coretec-tile/foussana-limestone-vv870-12252?utm_source=google&utm_medium=cpc&utm_campaign=COR_GG_Search_Branded_Design_ManualCPC_FY25&utm_term=coretec+flooring&utm_content=Cj0KCQiA7-rMBhCFARIsAKnLKtAsVMQhxxFkowZv_RorSWjShO3bcv4mF-0EqMA2jlfTAQCnQRU5ncQaAh3VEALw_wcB,,derived,compiled_products_db.xlsx,Sheet1,179,high
Quartz Countertop,GALACTICHALOQUARTZ-SQUAREEDGE,,Pacific Surfaces,Galactic Halo Quartz - Square Edge,Kitchen,ea,,,,,7095.00,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,7,medium
Quartz Top,GALACTICHALOQUARTZSQUAREEDGE,,Pacific Surfaces,Galactic Halo Quartz Square Edge,Powder Room,ea,,,,,,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,21,medium
Shower Handheld,H5BG,,,,,ea,,,,,301.93,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,618 | 590,high
Shower Handheld,H5BN,,,,,ea,,,,,270.84,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,680 | 651,high
