manufacturerNorm,modelStem,modelNumber,name,vendor,vendorNorm,vendorCost,vendorSku,isPrimarySuggested,distinctPricesForVendorKey,priceMin,priceMax,rowsInVendorKey,confidence,sourceWorkbook,sourceSheet,sourceRow
delta,T11800,T11800,"Innovations Three Function Diverter Valve Trim Less Rough-In Valve - Two Independent Positions, One Shared Position",2026-06-09 00:00:00,2026-06-09 00:00:00,277.40,T11800,true,1,277.4,277.4,1,high,Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Master | Product Occurrences | Sheet1,266 | 115 | 92 | 79
delta,T17238,T17238,Lahara Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,2026-06-09 00:00:00,2026-06-09 00:00:00,307.77,T17238,true,1,307.77,307.77,1,high,Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Master | Product Occurrences | Sheet1,267 | 116 | 93 | 80
dreamline,DLT1130601,DLT-1130601,"SlimLine 30"" x 60"" Shower Base with Single Threshold and Left-Side Drain",Ferguson,ferguson,330.76,DLT-1130601,true,1,330.76,330.76,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences,7 | 39 | 89 | 90 | 18 | 113 | 68 | 69 | 161 | 191
dreamline,DLT1142420,DLT-1142420,Shower base 42 x 42,Home Depot - Freight chg at Ferguson,home depot - freight chg at ferguson,504.44,DLT-1142420,true,1,504.44,504.44,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,91 | 187 | 70
dreamline,DLT2038380,DLT-2038380,Neo-Angle Shower Base,Home Depot,home depot,279.31,DLT-2038380,true,1,279.31,279.31,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,92 | 101 | 71 | 162 | 170
dreamline,DN09X02R01,DN09X02R01,Shower Drain,Home Depot,home depot,70.00,DN09X02R01,true,1,70.0,70.0,1,high,Product_Master_Enhanced.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx,Product Library | Raw Records | Product Master | Product Occurrences | Sheet1,93 | 102 | 163 | 171 | 101
dreamline,DN09X02R04,DN09X02R04,SlimLine Shower Drain - Brushed Nickel,Ferguson,ferguson,75.90,DN09X02R04,true,1,75.9,75.9,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | compiled_products_db.xlsx,Product Library | Raw Extract | Raw Records | Sheet1,8 | 40 | 94 | 19 | 24
dreamline,DN09X02R09,DN09X02R09,Shower Drain Matte Black,Home Depot,home depot,81.00,DN09X02R09,true,1,81.0,81.0,1,high,Product_Master_Enhanced.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx,Product Library | Raw Records | Product Master | Product Occurrences | Sheet1,95 | 114 | 164 | 192 | 111
dreamline,SHDR6360760,SHDR-6360760,"Shower Door 60"" Clear Glass Matte Black",Home Depot,home depot,689.55,SHDR-6360760,true,1,689.55,689.55,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,238 | 153 | 188 | 298 | 251
insinkerator,BADGER5WC,BADGER5WC,Garbage Disposal,Ferguson,ferguson,152.75,BADGER5WC,true,1,152.75,152.75,1,high,Product_Master_Warehouse.xlsx,Product Master | Product Occurrences,135 | 66
kohler,27082,27082-BL,"Occession 36"" Grab Bar",Home Depot,home depot,408.01,27082-BL,true,1,408.01,408.01,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,32 | 156 | 31 | 89 | 254
kohler,27393,27393-BN,"18"" Towel Bar (2) simplice",Ferguson,ferguson,99.53,27393-BN,true,1,99.53,99.53,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,33 | 198 | 32
kohler,27395,27395-BN,Hook - 1 simplice,Ferguson,ferguson,23.54,27395-BN,true,1,23.54,23.54,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,34 | 200 | 33
kohler,27397,27397-BN,Toilet Paper Holder -simplice,Ferguson,ferguson,41.44,27397-BN,true,1,41.44,41.44,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,35 | 201 | 34
kohler,E580,E580,Purewash Round Electric Bidet Seat in White,Home Depot,home depot,0.00,E580,true,1,0.0,0.0,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,12 | 15
kohler,K11748,K-11748,Shower Valve,Ferguson,ferguson,227.83,K-11748,true,1,227.83,227.83,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,118 | 24 | 83 | 33 | 34
kohler,K20000,K-20000,(2) Sinks Rect,Ferguson,ferguson,219.10,K-20000,true,1,219.1,219.1,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,119 | 120 | 121 | 122 | 29 | 43 | 87 | 234 | 276 | 84 | 85 | 3 | 32 | 98 | 133 | 153 | 302 | 38 | 214 | 30 | 378 | 425 | 505 | 534 | 554 | 780 | 827 | 894
kohler,K200000,K-20000-0,Master Sink,Ferguson Home,ferguson home,139.98,K-20000-0,true,1,139.98,139.98,1,high,,John Daye 39938-CJC,41 | 68
kohler,K21952,K-21952,Powder Room Towel Bar -BN Final,Ferguson,ferguson,77.31,K-21952,true,1,77.31,77.31,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,31 | 32
kohler,K21953,K-21953,"24"" Towel Bar above Toilet",Ferguson,ferguson,79.61,K-21953,true,1,79.61,79.61,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Sheet1,10 | 33 | 123 | 13 | 86 | 18 | 19
kohler,K21954,K-21954,TP Holder,Ferguson,ferguson,63.30,K-21954,true,1,63.3,63.3,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,124 | 90 | 87 | 211 | 101 | 30 | 84 | 31 | 506
kohler,K21956,K-21956,Hook for Towel,Ferguson,ferguson,31.71,K-21956,true,1,31.71,31.71,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,125 | 89 | 88 | 212 | 100 | 83 | 73
kohler,K22020,K-22020,(2) Faucet,Ferguson Order REQ 3/31,ferguson order req 3/31,493.72,K-22020,true,1,493.72,493.72,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,126 | 44 | 89 | 213 | 33 | 49 | 45
kohler,K22022,K-22022,Faucet- Tempered GPM Single Hole Bathroom Faucet with Pop-Up Drain Assembly,Ferguson,ferguson,364.20,K-22022,true,1,364.2,364.2,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences | Sheet1,11 | 27 | 127 | 128 | 129 | 9 | 60 | 68 | 88 | 90 | 91 | 92 | 47 | 214 | 49 | 57 | 99 | 14 | 28 | 63 | 82 | 17 | 59 | 72 | 349 | 444
kohler,K2209,K-2209,"17"" Oval Undermount Bathroom Sink",Ferguson,ferguson,107.97,K-2209,true,1,107.97,107.97,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Sheet1,12 | 26 | 130 | 131 | 8 | 269 | 93 | 13 | 16 | 883
kohler,K2210,K-2210,(2) Caxton Oval Undermount Bathroom Sink with Overflow,Ferguson,ferguson,238.99,K-2210,true,1,238.99,238.99,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,132 | 133 | 59 | 67 | 193 | 94 | 48 | 56 | 62 | 58 | 443 | 750
kohler,K22972,K22972,Faucet - Crue GPM Single Hole Pull Down Kitchen Faucet - Includes Escutcheon,Ferguson,ferguson,517.87,K22972,true,1,517.87,517.87,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,186 | 128 | 141 | 124 | 98
kohler,K23292,K-23292,Toilet Paper Holder,Ferguson,ferguson,86.33,K-23292,true,1,86.33,86.33,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,135 | 33 | 96 | 42 | 41
kohler,K23295,K-23295,"24""Grab Bar",Ferguson,ferguson,145.15,K-23295,true,1,145.15,145.15,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,136 | 34 | 97 | 43 | 42
kohler,K26109,K-26109,Bath Tub right Drain,Ferguson,ferguson,763.84,K-26109,true,1,763.84,763.84,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,137 | 138 | 26 | 79 | 267 | 98 | 216 | 82 | 35 | 485 | 881
kohler,K26322,K-26322,"Shower Fixture 15"" / Arm MODEL: -CP",Wayfair/ Ferguson BO,wayfair/ ferguson bo,124.76,K-26322,true,1,124.76,124.76,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,139 | 48 | 99 | 217 | 37 | 53 | 49
kohler,K26634,K-26634,"24"" Towel Bar",Ferguson,ferguson,135.65,K-26634,true,1,135.65,135.65,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,140 | 31 | 100 | 40 | 39
kohler,K26636,K-26636,Robe Hooks,Ferguson,ferguson,96.91,K-26636,true,1,96.91,96.91,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,141 | 32 | 101 | 41 | 40
kohler,K26801,K-26801,Toilet Seat,Ferguson,ferguson,60.50,K-26801,true,1,60.5,60.5,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,142 | 143 | 82 | 192 | 102 | 218 | 85 | 77 | 67 | 749
kohler,K26802,K-26802,Toilet Seat Impro Round,Ferguson,ferguson,55.52,K-26802,true,1,55.52,55.52,2,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences | Sheet1,13 | 24 | 144 | 145 | 6 | 57 | 63 | 66 | 103 | 35 | 46 | 52 | 55 | 11 | 14 | 428 | 436 | 442
kohler,K27118,K-27118,Shower Set-up,Ferguson,ferguson,1038.53,K-27118,true,1,1038.53,1038.53,2,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,146 | 150 | 104 | 219 | 248 | 143 | 112
kohler,K27383,K-27383,"(2) 18"" Towel Bar",Amazon,amazon,87.34,K-27383,true,1,87.34,87.34,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,147 | 142 | 105 | 220 | 238 | 138 | 107
kohler,K27388,K-27388,(2) Faucet & Drain Kit Simplice,Ferguson,ferguson,524.63,K-27388,true,1,524.63,524.63,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,148 | 194 | 106 | 178 | 136
kohler,K28563,K28563,Tub Spout,Ferguson,ferguson,68.16,K28563,true,1,68.16,68.16,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,189 | 171 | 144 | 236 | 270 | 160 | 123
kohler,K28876,K-28876,Undermount Sink Single Bowl -NA,Ferguson,ferguson,0.00,K-28876,true,1,0.0,0.0,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,282 | 219
kohler,K30469,K-30469,Kitchen Kitchen Faucet Rival -VS 600 Final,Ferguson,ferguson,315.23,K-30469,true,1,315.23,315.23,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,27
kohler,K30811,K-30811,Toilet Santa Rosa,Ferguson,ferguson,575.62,K-30811,true,2,512.9,575.62,2,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,149 | 27 | 212 | 107 | 36 | 779
kohler,K30919,K-30919,Santa Rosa Left Lever,Ferguson,ferguson,69.70,K-30919,true,1,69.7,69.7,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,150 | 28 | 108 | 37
kohler,K31588,K-31588,Toilet Bowl,Ferguson,ferguson,158.90,K-31588,true,1,158.9,158.9,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,151 | 148 | 109 | 221 | 246 | 142 | 111
kohler,K31589,K31589,Toilet Cimarron Bowl,Ferguson,ferguson,231.43,K31589,true,2,231.0,231.43,2,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,191 | 176 | 146 | 238 | 275 | 165 | 128
kohler,K31620,K-31620,Toilet - elongated Chair Height,Ferguson,ferguson,425.08,K-31620,true,1,425.08,425.08,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,154 | 155 | 156 | 157 | 81 | 147 | 149 | 191 | 112 | 20 | 84 | 245 | 247 | 76 | 66 | 705 | 706 | 748
kohler,K31640,K-31640,Toilet Ciminron Round Chair Height,Ferguson,ferguson,425.08,K-31640,true,1,425.08,425.08,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Sheet1,14 | 23 | 158 | 5 | 113 | 10 | 13
kohler,K35934,K-35934,TP Holder,Ferguson,ferguson,30.91,K-35934,true,1,30.91,30.91,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,159 | 155 | 114 | 222 | 253 | 147 | 115
kohler,K35953,K-35953,Faucet Wide Spread or Single Match vanity top,BO Ferguson ordered Amazon  4/22,bo ferguson ordered amazon 4/22,301.84,K-35953,true,1,301.84,301.84,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,160 | 144 | 115 | 223 | 241 | 140 | 109
kohler,K37889,K-37889,(1) Faucet & Drain Kit,Ferguson,ferguson,481.94,K-37889,true,1,481.94,481.94,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,161 | 30 | 116 | 39 | 38
kohler,K37891,K37891,Faucet with Drain,Ferguson,ferguson,276.46,K37891,true,1,276.46,276.46,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,192 | 175 | 147 | 240 | 274 | 164 | 127
kohler,K706015,K-706015,"Levity 74"" High x 59 /8"" Wide Bypass Frameless Shower Door with Clear Glass",Home Depot (Freight),home depot (freight),877.14,K-706015,true,1,877.14,877.14,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences | Sheet1,21 | 38 | 162 | 163 | 17 | 115 | 117 | 118 | 224 | 193 | 22 | 112 | 23 | 91
